Population,HapMap3_SNPs,KG_SNPs,Common_SNPs,Unique_to_HapMap3,Unique_to_KG,Allele_Match_Rate,Common_SNP_Pct
ASW,21694,21664,21643,0,0,26.58134269740794,99.76
CEU,21694,21664,21643,0,0,26.58134269740794,99.76
CHB,21694,21664,21643,0,0,26.58134269740794,99.76
JPT,21694,21664,21643,0,0,26.58134269740794,99.76
LWK,21694,21664,21643,0,0,26.58134269740794,99.76
MXL,21694,21664,21643,0,0,26.58134269740794,99.76
TSI,21694,21664,21643,0,0,26.58134269740794,99.76
YRI,21694,21664,21643,0,0,26.58134269740794,99.76
