sample	sex	pop	source	super_pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19901	U	ASW	1000G	AFR	23.303719986086655	0.450171502284588	0.13532713049499448	-5.24077437638827	-6.913525061821915	-1.8880245077098716	1.1136404482958515	-1.7675974630541762	-2.555903784752449	5.628616031452076
NA19904	U	ASW	1000G	AFR	19.08131989259037	4.345915187162428	-2.0299083589903875	-9.974012247595372	-1.7125802326272637	48.78725594266315	-8.699198387340719	8.409544393718775	-2.163608045581017	1.0722205728943142
NA19908	U	ASW	1000G	AFR	22.307084345239108	-0.7507051384457413	-0.410841708135184	-3.1029501289550376	8.54500373301136	-2.2651782917089145	1.1263375052345157	4.945516198855762	1.1394662430945548	-5.119007268488223
NA19909	U	ASW	1000G	AFR	23.34748229461968	0.6240745553507272	0.7990457960329278	1.4649201228477091	1.9486151482409326	-4.32595990872827	-3.6798592861332886	-6.204711547135263	0.3275576842606232	-4.359529331333961
NA19913	U	ASW	1000G	AFR	20.672010895247606	2.382880886345187	-0.6677269986134675	-9.615418305164571	-2.6665608869331985	46.310622267051876	-9.005289526942443	4.068473542858684	-3.5321089308085623	1.3892237183852463
NA19914	U	ASW	1000G	AFR	13.440217484616891	4.1621541342472055	-0.3482392195406381	-1.7519657292865272	-0.6616712167807903	-1.9506738963624901	-0.7430417273081108	-2.6675302578455544	-1.74095678374305	1.1405387103436542
NA19916	U	ASW	1000G	AFR	22.36449440729852	0.0008250425099853881	0.194549388150248	-4.882268238461838	-1.3323636092377789	4.621434985912396	-1.325918337176094	-3.9687271390925667	-3.0092896353502465	-0.8136891873973594
NA19917	U	ASW	1000G	AFR	21.806517765897578	0.19811607697647618	-0.4907314999963324	-6.3122595178520795	-2.2001706386726116	6.031690164849955	-2.356517450428636	4.580225486600275	4.601020714880065	1.2552610360386003
NA19920	U	ASW	1000G	AFR	20.914273597773658	-1.4118742821124008	0.02370807837618089	-3.235794731526533	2.599909774709623	-4.628854966953277	0.8856039434847202	3.74519864920546	-3.486705308650624	1.2579599343993477
NA19921	U	ASW	1000G	AFR	11.562459706085301	4.045841464155705	2.7458954632076344	-1.6312194076034348	1.622475286848797	-4.530608336318763	-2.7238088567151166	-3.586351725467324	3.8493626709941204	1.5371461622979603
NA19922	U	ASW	1000G	AFR	15.415024734085318	4.692826730305537	-0.35101166919189086	-6.147751005113471	-2.9592544795124214	1.568365003859541	-0.9976129114808684	5.0661378432851	-2.9040727198910963	-3.3955515261469724
NA19923	U	ASW	1000G	AFR	12.055764908406989	4.279660819538681	-2.463362440600226	-2.3616409625170767	3.791787593839028	-0.880936408100036	-0.29610785454954147	-4.038386068806848	4.108861905023895	5.990227855633171
NA19982	U	ASW	1000G	AFR	21.45785564299871	-0.2540895071823972	0.8272120437493954	-5.443620969202559	-6.346762180413223	-0.8818963614125164	-2.6323502350738877	1.0967245846556268	-0.6397271906983394	10.231518088606434
NA19984	U	ASW	1000G	AFR	22.596847851925773	0.1659371297017206	-2.9948556343348347	-2.02739445498822	0.14599829094575342	0.4996063451383517	1.465575414279167	1.0913259771545585	-5.955571215555757	-8.564007609470442
NA20126	U	ASW	1000G	AFR	14.155737713547168	5.204195330534222	-0.11936576597352991	-1.751154989530288	5.033655943817531	3.0377893557272655	2.238584435742723	-4.874758020930748	4.502249225866138	1.3646195872253866
NA20127	U	ASW	1000G	AFR	22.799267643787974	-1.6284620339174538	-0.12026946208835977	-4.178413135579439	9.57145857339256	-0.5399742085381288	0.7058813876470519	3.8870935817459324	-5.246790832345985	-7.390884076513474
NA20274	U	ASW	1000G	AFR	0.19104818495064294	-0.8375282733393338	13.066234468546629	0.49853171433117965	-0.8058163106576401	0.4671287970194143	0.6554018666864206	-2.226719511292895	-1.0181514898650086	-0.5342918284058118
NA20276	U	ASW	1000G	AFR	20.01409023306883	1.9740963813222605	1.7385904319053387	-6.733021705861801	6.395462203460004	3.4492097298575395	-6.417809913078516	9.735338732083095	1.5157628898473527	5.743409507339417
NA20278	U	ASW	1000G	AFR	5.477111912978696	6.739682540825383	-2.3429901552657135	-1.6244930541727645	-0.926650179171557	-1.3334395283975924	2.5693209533438304	-0.5914453111193397	-1.376246580232837	1.1598784407544303
NA20281	U	ASW	1000G	AFR	20.038147724290898	1.2493275360535994	1.3621261407875715	-1.5670188919053198	-2.5569376416609453	1.417545226301192	-2.560593590293564	-5.909052352761963	5.881248577996147	3.299902252933255
NA20282	U	ASW	1000G	AFR	16.303176242510673	2.177231752304083	1.7696058264731622	-4.14020742543853	-3.955634203386182	-0.8592716187153884	-6.064728618663786	-1.1956566630743735	6.789822603072616	-2.342181117607039
NA20287	U	ASW	1000G	AFR	19.166968014067418	1.303146565479388	-1.3907249576012017	-3.292228616190037	0.863803976448276	0.38197332711687065	3.047241362144708	0.9968435237621732	-3.6722302570074623	-2.763257487074071
NA20289	U	ASW	1000G	AFR	17.95017758089361	1.1935631737570787	-2.2593998810958498	-3.411394373030258	-1.7748925515779503	5.689571915277178	-2.3797158918235306	1.425702649526456	-13.45498892588175	-1.5819454712454817
NA20291	U	ASW	1000G	AFR	25.471521692650793	-1.6186921731097959	-0.41831724788116637	-2.804847936626984	-0.5924659433145112	-2.689809454076199	-7.562951441840277	6.5230689102376544	-1.6024844127888056	-0.6689400041243144
NA20294	U	ASW	1000G	AFR	20.5905796416265	0.533884929616719	1.2094004198261044	-2.544531357405	-3.495088326478082	2.6544103020651026	3.1821279659583537	-3.0745242264000203	2.1499348460061594	-2.9930157860836193
NA20296	U	ASW	1000G	AFR	17.67462040910629	2.248977036808944	1.4255521757642293	-5.258582083134844	-4.044834002166925	1.0827648712231204	-6.061120416608384	-2.557079076019445	-8.848177755676085	-3.54893721027963
NA20298	U	ASW	1000G	AFR	22.981173623073545	1.0454518249356477	-1.0555761139222282	-5.3117358851558185	5.341328079058487	-4.656778556669552	-1.7899304149323925	6.0458932553943825	2.7543311659843672	9.746250920622922
NA20299	U	ASW	1000G	AFR	3.9728142126427435	-1.6015096260604633	12.366159488460669	-0.7369284976969087	3.9387029434159784	-1.4935306778969784	-2.3906149098064686	-1.887110066754905	1.6193212327495727	-0.12385210070063131
NA20314	U	ASW	1000G	AFR	-13.744173772708125	0.9861845262485779	16.705017568698974	0.42275952999214145	-1.6329649459287263	-1.7393390386368415	-1.2277679625830413	-1.0346850247484065	0.5213426327012971	-1.5140172045317697
NA20317	U	ASW	1000G	AFR	15.525692383246374	3.6983326323537167	-1.0401218606107911	-1.0816236580932665	18.24033790502382	-5.117718066161544	6.498179314650597	-6.43223387383222	-12.195910206770312	-11.646793244766059
NA20318	U	ASW	1000G	AFR	13.835216770048458	3.7765777079979537	1.670091897627991	-0.6007874198532741	17.88149179088351	-6.864923464542969	4.6632182185310835	-4.642971106380886	-11.164321697363961	-14.05287396526123
NA20320	U	ASW	1000G	AFR	23.07231886477732	-1.3654297100212842	0.2784177106281181	-4.014742255592083	2.0592118667970842	3.878530728127248	39.85078032730511	-4.547696717844863	6.9875285974843635	-5.137576951822493
NA20321	U	ASW	1000G	AFR	18.695309019494257	0.7823162152858603	-0.31987278624141297	-3.481719797770056	1.2520992293456694	5.924784214848478	36.32787302588907	-5.89867669693695	6.681368468184428	-6.217658722221465
NA20332	U	ASW	1000G	AFR	17.21317365099556	2.019956258067834	1.0339177982536412	-0.2299124562579762	3.023836191132239	-0.9930422917070687	-0.4951551677199338	-3.8494043007731364	9.781408107022457	-0.5998551570537992
NA20334	U	ASW	1000G	AFR	11.780613180627073	4.432715376991545	-1.8923705028547366	-2.2889105240978416	3.659155984004093	-9.084978791225174	2.5734224891538098	9.637815445214638	-2.397725337305994	8.395514853676502
NA20339	U	ASW	1000G	AFR	21.70121362214075	-1.5017098543958975	2.2562266578914594	-4.723390907399602	2.2504686238194966	-3.92436245958219	-0.2646405844775172	1.3139548693312788	-7.341916542743403	1.3024749330551644
NA20340	U	ASW	1000G	AFR	20.635021327662837	1.1646123641742139	0.48244593461129454	-4.981920651129124	-5.242853267675188	-5.744931340229995	-4.55230483420771	3.645711047704022	0.13457945475998473	2.5976055321243554
NA20342	U	ASW	1000G	AFR	9.756171480808394	3.373247524573667	0.23937854140486378	-0.5227819085841657	-5.936930602400716	0.5323185416307781	-0.26456028442898766	1.3502903157698727	1.546170263404556	0.5759616218117747
NA20346	U	ASW	1000G	AFR	18.68156088111821	-0.2690177126831294	-0.9363595381426152	-2.6669994863929696	0.9756609762220183	-3.0425778436681403	-2.912344122576416	7.132180948856833	-6.606091645395697	4.500786560552536
NA20348	U	ASW	1000G	AFR	21.46930879963309	1.560106723163254	1.266750918450412	-0.043772097955144224	5.820388119755141	-9.564504197988215	-3.8686937803894548	6.0556072564010215	-1.8224258648832794	1.4142050331728382
NA20351	U	ASW	1000G	AFR	13.405658314442633	3.325045326849131	-0.8953331512704303	-3.2249447044870525	-2.6344726761090884	0.8465016749409076	-0.3265869526392442	0.8853419588738511	-1.2137178055849522	-3.4023257242649496
